Name,Bundesland,Schultyp,Kategorien,Adresse,Telefon,Fax,E-Mail,WWW
School 1,State 1,Type 1,Category A 1 Category B 1,"Street 1 123, City 1",123-456-781,123-456-871,email1@example.com,http://www.school1.com
School 2,State 2,Type 2,Category A 2 Category B 2,"Street 2 123, City 2",123-456-782,123-456-872,email2@example.com,http://www.school2.com
School 3,State 3,Type 3,Category A 3 Category B 3,"Street 3 123, City 3",123-456-783,123-456-873,email3@example.com,http://www.school3.com
School 4,State 4,Type 4,Category A 4 Category B 4,"Street 4 123, City 4",123-456-784,123-456-874,email4@example.com,http://www.school4.com
School 5,State 5,Type 5,Category A 5 Category B 5,"Street 5 123, City 5",123-456-785,123-456-875,email5@example.com,http://www.school5.com
School 6,State 6,Type 6,Category A 6 Category B 6,"Street 6 123, City 6",123-456-786,123-456-876,email6@example.com,http://www.school6.com
School 7,State 7,Type 7,Category A 7 Category B 7,"Street 7 123, City 7",123-456-787,123-456-877,email7@example.com,http://www.school7.com
School 8,State 8,Type 8,Category A 8 Category B 8,"Street 8 123, City 8",123-456-788,123-456-878,email8@example.com,http://www.school8.com
School 9,State 9,Type 9,Category A 9 Category B 9,"Street 9 123, City 9",123-456-789,,,http://www.school9.com
School 10,State 10,--,--,--,--,--,--,--
